Stock,% of Portfolio,RecentActivity,Shares,ReportedPrice*,Value, ,Current Price,+/-Reported Price,52Week Low,52Week High
ECHOSTAR CORP,0.0348630469027543,Add 7.50%,722000.0,101.5,73283000.0,,,,,
ICHOR HOLDINGS,0.034836723715777465,Reduce 56.87%,652188.0,112.27999901868786,73227668.0,,,,,
CACI INTL INC,0.03474739081527668,"Add 12,553.69%",157665.0,463.2600006342562,73039888.0,,,,,
VITA COCO CO INC,0.03473787380241845,Reduce 9.09%,1104020.0,66.14000018115614,73019883.0,,,,,
EQUINOX GOLD CORP,0.03472726355809068,Reduce 2.52%,35464943.0,2.0583024763355744,72997580.0,,,,,
GLOBAL X FDS,0.0345300332785704,Add 10.90%,1091962.0,66.47025903831819,72582997.0,,,,,
CIRCLE INTERNET GROUP INC,0.03439472185976308,Reduce 72.80%,1154376.0,62.63000010395226,72298569.0,,,,,
MIDDLEBY CORP,0.034271314675534695,Reduce 46.39%,418808.0,172.0099998089817,72039164.0,,,,,
PAYLOCITY HLDG CORP,0.034257930915337714,Reduce 4.55%,688903.0,104.5300005951491,72011031.0,,,,,
LYONDELLBASELL INDUSTRIES NV,0.034214552270826246,Add 103.78%,1365999.0,52.65000047584222,71919848.0,,,,,
MAPLEBEAR INC,0.034134076543301944,"Add 4,091.08%",1515326.0,47.3499999340076,71750686.0,,,,,
SLB LIMITED,0.034098923775787805,Add 20.42%,1541768.0,46.48999979244608,71676794.0,,,,,
MANULIFE FINL CORP,0.03404059716521693,Add 21.31%,1766103.0,40.51529837161253,71554190.0,,,,,
B2GOLD CORP,0.034031020685894954,Reduce 32.31%,19115687.0,3.7421652698121703,71534060.0,,,,,
METTLER TOLEDO INTERNATIONAL,0.03393748041415107,Reduce 34.40%,55841.0,1277.510001611719,71337436.0,,,,,
PINNACLE FINL PARTNERS INC,0.03385654608125834,Reduce 29.32%,705465.0,100.88000113400382,71167310.0,,,,,
XYLEM INC,0.03377464553726263,Reduce 6.46%,600585.0,118.21000024975649,70995153.0,,,,,
FLUENCE ENERGY INC,0.03374107362622077,Reduce 45.02%,3567635.0,19.880000056059547,70924584.0,,,,,
EAGLE MATLS INC,0.03373514648484608,Reduce 8.65%,315165.0,225.0,70912125.0,,,,,
SYNOPSYS INC,0.03358960350415214,Add 243.32%,158285.0,446.0700003158859,70606190.0,,,,,
PLAINS GP HLDGS L P,0.03353802609935081,Add 97.74%,2904729.0,24.27000005852525,70497773.0,,,,,
SENSATA TECHNOLOGIES HLDG PL,0.03352123324572009,Add 805.38%,1475963.0,47.74000025745903,70462474.0,,,,,
CENTURY ALUM CO,0.033505154465386044,Reduce 4.48%,14316838.0,4.919289859953714,70428676.0,,,,,
UNITED NAT FOODS INC,0.033503020808666774,Reduce 2.78%,1542023.0,45.67000038261427,70424191.0,,,,,
INNODATA INC,0.03348844343760944,Add 165.83%,931378.0,75.5799997423173,70393549.0,,,,,
AVNET INC,0.03343758391195848,Add 7.72%,791338.0,88.8199997978108,70286641.0,,,,,
CONSTELLIUM SE,0.033334499510648895,Reduce 32.03%,2198618.0,31.869999699811427,70069955.0,,,,,
PEBBLEBROOK HOTEL TR,0.033042239443400775,Add 10.73%,19311760.0,3.5965451621188333,69455617.0,,,,,
VICI PPTYS INC,0.03301460656702635,Reduce 22.26%,2613843.0,26.550000133902458,69397532.0,,,,,
UIPATH INC,0.032988163495658605,Add 444.81%,6379204.0,10.870000081514872,69341948.0,,,,,
